unit_id,Timestamp,wafer_id,die_x,die_y,scan_pass,temp_die_center_c,temp_serdes_corner_c,v_core_v,v_mem_v,i_ddq_ma,total_power_w,fan_speed_rpm,mse_db,eye_height_mv,eye_width_ps,vga_gain_db,fec_codeword_1,fec_codeword_2,fec_codeword_3,fec_codeword_4,fec_codeword_5,fec_codeword_6,fec_codeword_7,fec_codeword_8,fec_codeword_9,fec_codeword_10,fec_codeword_11,fec_codeword_12,fec_codeword_13,fec_codeword_14,fec_codeword_15,ring_osc_speed_ghz,crit_path_delay_ps,leakage_current_ua,bist_status_pass,interrupt_lat_us,pcie_retry_count,correctable_ecc_errors,uptime_hrs
SN_1000,2026-04-02 08:00:00,2,-4.714285714285715,-14.142857142857142,0,64.92620253407074,61.620234245626015,0.8859660555185637,1.185957604337384,534.9512054127315,56.82352101620503,3374.5064082745325,-24.929534447823457,114.77220907294603,15.507437110874797,11.913782901992548,1,0,0,0,1,0,0,0,1,0,2,0,0,0,1,3.3636691049872978,145.46760213318524,14.222914318788195,1,5.156855289980706,0,3,126.40227670275995
SN_1001,2026-04-02 08:01:00,1,-3.8571428571428577,-14.142857142857142,1,68.19268616653007,59.0039361581664,0.8973312318629341,1.1986581978932307,459.8644996371055,48.30399049466865,3360.3188482091437,-26.35445283490242,119.3336836235719,17.661581643973673,11.8703269479714,0,0,1,0,2,1,0,0,3,0,0,0,0,1,1,3.2483271552933983,143.80111442155595,11.779353023843273,1,5.358994570654148,0,0,110.84182983640386
SN_1002,2026-04-02 08:02:00,1,-3.0,-14.142857142857142,1,72.08223019050726,64.63262094266018,0.8863078362105523,1.2051935874563788,439.35610988371025,47.14902024162123,3007.100044022526,-23.06291967690786,128.08301802410097,16.849903222589088,10.463469309617961,1,0,4,0,0,0,0,0,1,0,0,0,1,0,0,3.191982552247033,150.5388413371217,10.71411302706313,1,4.218346297911297,0,1,127.01684351267028
SN_1003,2026-04-02 08:03:00,1,-2.142857142857144,-14.142857142857142,1,69.73047575497131,64.65025868489127,0.8937385442701585,1.2167336394615251,461.2623930944509,51.974096742970254,3036.7383146490733,-20.434188799869712,117.83002938247638,16.9664657501623,11.715210590484604,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.1767343329408284,140.13101151029716,8.884133933823595,1,4.942614966427744,0,0,154.27112827559208
SN_1004,2026-04-02 08:04:00,2,-1.2857142857142865,-14.142857142857142,0,65.08848209811343,67.193278510218,0.9051608088234521,1.1941054760006127,518.4560427444726,53.413159711825905,3584.0754439033526,-24.494680774050313,134.06771072401915,16.219713417479976,11.002735042031585,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,3.3185942883040207,143.2068692543513,12.861195076300538,1,4.991881349018645,0,2,45.095846368964644
SN_1005,2026-04-02 08:05:00,3,-0.4285714285714288,-14.142857142857142,1,75.60928928115236,68.79837828545796,0.9052251260886919,1.1841757202597636,463.89853629114606,47.87191446778059,3462.6388912890716,-28.757992081506448,127.21271796640633,16.784985674092884,11.536145570494055,0,1,2,0,1,2,1,1,1,0,0,0,0,0,2,3.3572034485611653,141.6026486077393,13.15218317882215,1,4.872820372913844,0,0,61.66890182516166
SN_1006,2026-04-02 08:06:00,1,0.42857142857142705,-14.142857142857142,0,81.6002036100863,64.76233927491002,0.8865325490036156,1.2081683701143098,477.37638864973405,54.68172809397574,3195.2722230007844,-22.659900656368954,130.12654854089232,14.799114486477842,10.901813616221851,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3.243906862226911,149.11968590804867,10.27419754395104,1,5.103729006799205,0,3,167.39244847221246
SN_1007,2026-04-02 08:07:00,3,1.2857142857142847,-14.142857142857142,1,70.98065729511954,72.42201325917705,0.8926844194057688,1.1861940129410034,439.1531634255203,48.70021822905801,3238.6059659626026,-22.0292005770999,143.68300663205446,15.535735171109156,11.551091612686994,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3.2943585045601345,140.88554431693854,14.215295007545505,1,3.94635085263147,0,3,46.50489002538628
SN_1008,2026-04-02 08:08:00,1,2.1428571428571423,-14.142857142857142,1,65.47965855132,65.89693897814116,0.9161149950715537,1.1956384455849252,493.0538774452049,44.97693301283589,3105.373039557922,-27.171691280771697,115.83721918959556,16.288006355453014,11.593889642976597,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,3.3147969541668396,137.6696709372088,9.927934835651765,1,5.064042944104982,0,0,127.77028893974779
SN_1009,2026-04-02 08:09:00,4,3.0,-14.142857142857142,1,62.255197374732624,63.6142939759724,0.9074460017660091,1.19742379514489,430.82331361499246,43.83637265441259,3264.852907130051,-23.647031632674093,135.02445493950842,16.416273788322837,12.0967549184388,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,3.211581274529634,146.72554047360208,13.062657299121426,1,4.848342262837434,0,1,128.41093111356986
